Hours,contact_10wet,contact_10dry,20_10wet,40_10wet,60_10wet,20_10dry,40_10dry,60_10dry
3.93333333,201.4170777,262,63.72299346,33.15,23.5,62.95,36.25,23.6
3.95,200.1828223,260.7,63.59581429,33.15,23.45,62.85,36.25,23.6
3.96666667,198.8424901,259.45,63.59581429,33.25,23.25,62.75,36.25,23.6
3.98333333,197.5561587,258.1,63.46863936,33.25,23.45,62.65,36.25,23.6
4,196.2188505,256.8,63.46863936,33.2,23.25,62.55,36.25,23.65
4.01666667,194.9305604,255.55,63.46863936,33.25,23.4,62.45,36.3,23.7
4.03333333,193.6412835,254.2,63.3414686,33.2,23.15,62.35,36.3,23.65
4.05,192.5068282,252.9,63.3414686,33.75,26.55,62.3,36.3,23.65
4.06666667,191.215705,251.7,63.21430198,33.5,24.75,62.15,36.3,23.65
4.08333333,190.0235806,250.4,63.21430198,33.4,25.1,62.1,36.3,23.65
4.1,188.5866732,249.1,63.08713944,33.45,25.2,61.95,36.3,23.65
4.11666667,187.492676,247.85,63.08713944,33.4,25.25,61.85,36.35,23.65
4.13333333,186.3476631,246.6,62.95998094,33.4,25.25,61.75,36.35,23.65
4.15,185.1582685,245.35,62.95998094,33.35,25.25,61.65,36.35,23.65
4.16666667,184.118121,244.1,62.95998094,33.3,25.25,61.55,36.4,23.7
4.18333333,182.8634142,242.95,62.83282643,33.35,25.25,61.5,36.45,23.7
4.2,181.8214975,241.7,62.83282643,33.35,25.25,61.35,36.45,23.7
4.21666667,180.2216297,240.5,62.70567587,33.3,25.25,61.25,36.4,23.65
4.23333333,179.4280551,239.3,62.5785292,33.3,25.2,61.15,36.4,23.65
4.25,178.0837104,238.1,62.5785292,33.35,25.25,61.05,36.4,23.65
4.26666667,177.2385924,236.95,62.45138639,33.3,25.25,60.95,36.35,23.7
4.28333333,176.1426981,235.75,62.45138639,33.3,25.25,60.85,36.35,23.7
4.3,174.9881694,234.55,62.32424737,33.3,25.25,60.75,36.35,23.7
4.31666667,173.7405824,233.35,62.32424737,33.3,25.25,60.6,36.35,23.7
4.33333333,172.7922093,232.25,62.19711211,33.25,25.25,60.55,36.4,23.7
4.35,171.5847765,231.05,62.06998055,33.25,25.25,60.4,36.4,23.7
4.36666667,170.4846896,229.9,62.06998055,33.3,25.25,60.35,36.4,23.7
4.38333333,169.433807,228.8,61.94285266,33.2,25.2,60.2,36.4,23.7
4.4,168.3321255,227.65,61.94285266,33.2,25.2,60.1,36.35,23.7
4.41666667,167.2796421,226.5,61.81572838,33.2,25.25,60,36.35,23.7
4.43333333,166.1763538,225.45,61.81572838,33.2,25.2,59.85,36.35,23.7
4.45,165.1722575,224.3,61.68860766,33.2,25.2,59.8,36.35,23.65
4.46666667,164.2265579,223.2,61.56149046,33.2,25.2,59.7,36.35,23.65
4.48333333,163.1209724,222.1,61.56149046,33.15,25.2,59.6,36.35,23.65
4.5,162.0645705,220.95,61.43437674,33.15,25.2,59.45,36.35,23.65
4.51666667,161.1169429,219.85,61.43437674,33.15,25.15,59.35,36.3,23.65
4.53333333,160.0590362,218.75,61.30726644,33.1,25.15,59.25,36.3,23.7
4.55,159.1101505,217.65,61.30726644,33.1,25.2,59.15,36.3,23.7
4.56666667,158.2706283,216.6,61.18015951,33.1,25.15,59.05,36.3,23.7
4.58333333,157.2606534,215.5,61.05305592,33.1,25.15,58.95,36.3,23.7
4.6,156.3100385,214.4,61.05305592,33.05,25.1,58.8,36.25,23.7
4.61666667,155.2485352,213.35,60.9259556,33.05,25.05,58.75,36.25,23.65
4.63333333,154.186194,212.25,60.9259556,33.1,25.15,58.65,36.25,23.7
4.65,153.2336008,211.25,60.79885853,33.05,25.1,58.55,36.25,23.7
4.66666667,152.2197157,210.15,60.79885853,33,25.05,58.45,36.25,23.7
4.68333333,151.2658318,209.1,60.67176464,33.05,25,58.3,36.2,23.6
4.7,150.2503931,208.15,60.5446739,33,25,58.2,36.15,23.6
4.71666667,149.2952104,207.2,60.5446739,33,25,58.1,36.2,23.6
4.73333333,148.2782081,206.15,60.41758625,32.9,25,57.95,36.2,23.65
4.75,147.3217184,205.2,60.29050165,32.9,24.95,57.9,36.2,23.6
4.76666667,146.1916298,204.2,60.29050165,32.9,25,57.75,36.1,23.65
4.78333333,145.283705,203.2,60.16342006,32.85,24.95,57.65,36.1,23.65
4.8,144.3251793,202.25,60.16342006,32.85,24.9,57.6,36.1,23.6
4.81666667,143.4160512,201.3,60.03634142,32.8,24.95,57.45,36.15,23.65
4.83333333,142.5063189,200.4,59.90926569,32.8,24.95,57.4,36.05,23.65
4.85,141.3716757,199.3,59.90926569,32.75,24.95,57.25,36.05,23.65
4.86666667,140.4104867,198.3,59.78219282,32.75,24.9,57.15,36.05,23.6
4.88333333,139.498688,197.35,59.78219282,32.75,24.9,57.05,36.05,23.6
4.9,138.4737224,196.35,59.65512277,32.75,24.9,56.9,36.05,23.6
4.91666667,137.5605764,195.4,59.65512277,32.8,24.9,56.8,36,23.65
4.93333333,136.1339893,194.4,59.52805549,32.75,24.95,56.65,36,23.65
4.95,135.3824378,193.45,59.52805549,32.7,24.95,56.6,36,23.65
4.96666667,134.6543684,192.45,59.40099093,32.7,24.9,56.55,36,23.65
4.98333333,133.7386284,191.55,59.27392905,32.7,24.95,56.4,36,23.65
5,132.8722666,190.65,59.27392905,32.65,24.95,56.3,35.95,23.7
5.01666667,131.8418093,189.65,59.1468698,32.6,24.9,56.2,35.95,23.65
5.03333333,130.9240737,188.7,59.1468698,32.75,24.9,56.1,35.95,23.7
5.05,130.0694339,187.8,59.01981313,32.6,24.85,55.95,35.95,23.7
5.06666667,129.03672,186.8,58.89275901,32.6,24.9,55.9,35.95,23.75
5.08333333,128.0670986,185.95,58.89275901,32.6,24.95,55.75,35.9,23.75
5.1,127.1468455,185,58.76570737,32.6,25,55.65,35.85,23.8
5.11666667,126.2259589,184.15,58.76570737,32.55,24.85,55.5,35.85,23.75
5.13333333,125.3544374,183.25,58.63865818,32.55,24.95,55.45,35.85,23.75
5.15,124.3822794,182.35,58.5116114,32.45,24.9,55.3,35.8,23.75
5.16666667,123.6240936,181.45,58.5116114,32.45,24.85,55.2,35.8,23.7
5.18333333,122.7007858,180.55,58.5116114,32.5,24.9,55.1,35.75,23.75
5.2,121.776837,179.7,58.38456697,32.5,24.9,55,35.75,23.75
5.21666667,120.9022458,178.85,58.25752484,32.45,24.8,54.85,35.7,23.8
5.23333333,119.9770104,177.95,58.13048498,32.45,24.85,54.75,35.65,23.7
5.25,119.1663573,177.15,58.13048498,32.45,24.9,54.65,35.65,23.75
5.26666667,118.1399587,176.25,58.00344734,32.4,24.75,54.5,35.6,23.75
5.28333333,117.3129117,175.45,58.00344734,32.3,24.8,54.4,35.6,23.75
5.3,116.5008062,174.6,57.87641187,32.3,24.8,54.35,35.6,23.75
5.31666667,115.6725881,173.8,57.87641187,32.3,24.75,54.25,35.6,23.7
5.33333333,114.8095438,175.8,57.74937852,32.3,24.7,67.2,40.8,25.2
5.35,113.8801497,175,57.62234726,32.2,24.65,67,40.8,25.2
5.36666667,113.1821987,174.1,57.62234726,32.2,24.7,66.8,40.8,25.2
5.38333333,112.1855874,173.4,57.49531803,32.15,24.7,66.7,40.7,25.2
5.4,111.5369265,172.5,57.36829079,32.1,24.65,66.5,40.7,25.2
5.41666667,110.4888925,171.8,57.2412655,32.05,24.65,66.3,40.7,25.2
5.43333333,109.7230079,171,57.11424211,32.05,24.65,66.2,40.6,25.2
5.45,108.8400562,170.3,57.11424211,32.05,24.65,66,40.6,25.2
5.46666667,108.023217,169.5,56.98722057,32,24.5,65.9,40.6,25.1
5.48333333,107.2559523,168.7,56.98722057,31.9,24.5,65.7,40.5,25.1
5.5,106.3712718,168,56.86020084,31.9,24.5,65.5,40.5,25.1
5.51666667,105.4859239,167.2,56.73318288,31.9,24.5,65.4,40.4,25.1
5.53333333,104.7171638,166.5,56.60616664,31.85,24.5,65.2,40.4,25.1
