Hours,contact_100dry,20cm_100dry,40cm_100dry,60cm_100dry,contact_100wet,20cm_100wet,40cm_100wet,60cm_100wet
4.62,300.95,65.3,35.35,28.2,361.8,71.6,25.2,17.64072299
4.63,299.9,65.3,35.45,28.25,360.45,73,25.1,17.64072299
4.65,298.9,65.2,35.55,28.25,359.05,72.7,25.1,17.64072299
4.67,297.9,65.1,35.55,28.2,358,72.1,25.1,17.64072299
4.68,296.95,65.1,35.75,28.3,356.7,72.6,25,17.64072299
4.70,295.95,65,35.8,28.3,355.5,72.9,24.9,17.59072299
4.72,294.95,64.9,35.75,28.25,354.35,71.85,24.9,17.64072299
4.73,293.95,64.9,35.95,28.3,353.2,72.2,24.8,17.59072299
4.75,292.95,64.8,36.05,28.35,352.15,72.75,24.8,17.36731094
4.77,292.15,64.7,36.15,28.4,351.05,72.1,24.7,17.64072299
4.78,291.2,64.6,36.25,28.4,349.65,71.9,24.7,17.64072299
4.80,290.2,64.6,36.2,28.4,348.5,71.85,24.7,17.64072299
4.82,289.15,64.5,36.25,28.4,347.15,71.75,24.6,17.69072299
4.83,288,64.4,36.2,28.4,346.1,71.8,24.5,17.69072299
4.85,287.05,64.3,36.3,28.4,345,71.8,24.4,17.69072299
4.87,286.1,64.2,36.35,28.4,343.8,71.8,24.4,17.69072299
4.88,285.3,64.2,36.4,28.4,342.75,72.05,24.4,17.69072299
4.90,284.2,64.1,36.45,28.4,341.6,72.1,24.4,17.69072299
4.92,283.25,64.1,36.45,28.45,340.5,71.95,24.4,17.64072299
4.93,282.55,64,36.6,28.45,339.45,71.9,24.4,17.69072299
4.95,281.55,63.9,36.6,28.5,338.4,72.15,24.5,17.6162499
4.97,280.75,63.9,36.65,28.6,337.25,72.7,24.6,17.6162499
4.98,279.95,63.7,36.7,28.7,336.25,72.85,24.7,17.69072299
5.00,279,63.6,36.75,28.75,335.15,73.65,24.8,17.71519844
5.02,278.1,63.6,36.75,28.8,334.05,73.25,25.1,17.64072299
5.03,277.25,63.5,36.75,28.85,333.05,72.55,25.3,17.34284517
5.05,277,63.4,36.8,28.85,331.9,72.8,25.4,17.64072299
5.07,275.9,63.5,36.75,28.85,330.9,73.05,25.5,17.64072299
5.08,275,63.2,36.7,28.85,329.65,74,25.7,17.69072299
5.10,274.25,63.1,36.65,28.85,328.45,74.7,25.8,17.69072299
5.12,273.4,63,36.55,28.85,327.35,74.85,26,17.59072299
5.13,272.55,63,36.5,28.85,326.25,74.85,26.2,17.59072299
5.15,271.55,62.9,36.5,28.85,324.95,74.4,26.5,17.59072299
5.17,270.45,62.8,36.5,28.85,324.1,74.85,26.7,17.29284517
5.18,270.6,62.4,36.45,28.9,322.8,73.15,27,17.29284517
5.20,268.6,62.8,36.45,28.85,321.55,72.6,27.2,17.59072299
5.22,267.45,62.7,36.4,28.85,320.5,72.45,27.4,17.64072299
5.23,266.85,62.6,36.4,28.85,319.35,71.8,27.7,17.59072299
5.25,266,62.4,36.4,28.85,318.15,72.45,27.8,17.59072299
5.27,263.6,62.6,36.05,28.9,317,72.1,28,17.59072299
5.28,264.25,62.5,36.25,28.9,316,72.9,28.1,17.5162499
5.30,263.3,62.3,36.25,28.9,314.9,72.2,28.2,17.5662499
5.32,262.3,62.3,36.25,28.9,313.75,72.95,28.3,17.64072299
5.33,261.5,62.1,36.2,28.9,312.45,72.25,28.5,17.29284517
5.35,260.75,62.4,36.05,28.9,311.55,71.7,28.6,17.59072299
5.37,259.65,62.1,36.2,28.95,310.45,72.5,28.7,17.59072299
5.38,258.8,62.1,36,28.9,309.4,72.1,28.8,17.59072299
5.40,258.3,61.9,36.05,28.9,308.3,71.2,28.9,17.59072299
5.42,257.45,61.8,36.15,29,307.25,71.2,29.1,17.59072299
5.43,256.65,61.8,36.15,28.95,306.2,71.3,29.1,17.64072299
5.45,254.8,60.8,36.2,28.95,305.15,71.35,29.1,17.59072299
5.47,254.8,61.8,36.05,29,304.1,71.15,29.3,17.59072299
5.48,253.5,61.8,36.1,29,,,,
5.50,253.25,61.5,36.15,29,,,,
5.52,252.3,61.5,36.1,29.05,,,,
5.53,251.65,61.4,36.05,29.05,,,,
5.55,250.55,61.3,36.1,29.05,,,,
5.57,249.85,61.3,35.95,29.05,,,,
5.58,249,61.3,35.6,29.05,,,,
5.60,248.1,60.7,35.9,29.05,,,,
5.62,247.45,61.1,35.8,29,,,,
5.63,245.75,61,35.95,29.05,,,,
5.65,245.1,61,35.9,29,,,,
5.67,244.2,61,36,29,,,,
5.68,243.4,60.9,35.95,29,,,,
5.70,242.7,60.9,36,29,,,,
5.72,241.7,60.7,36,28.95,,,,
5.73,240.9,60.7,36.05,29,,,,
5.75,240.05,60.6,36.1,28.95,,,,
5.77,239.25,60.5,36.15,28.95,,,,
5.78,238.35,60.4,36.25,29,,,,
5.80,237.6,60.4,36.25,29.05,,,,
5.82,237.25,59.8,36.35,29.1,,,,
5.83,236.3,60.2,36.4,29.1,,,,
5.85,235.3,60.1,36.4,29.1,,,,
5.87,234.4,60.1,36.45,29.2,,,,
5.88,233.65,60.1,36.45,29.15,,,,
5.90,233,59.9,36.6,29.2,,,,
5.92,232.2,59.9,36.6,29.25,,,,
5.93,231.35,59.5,36.65,29.3,,,,
5.95,230.7,59.7,36.3,29.2,,,,
5.97,229.7,59.6,36.4,29.25,,,,
5.98,228.85,59.5,36.45,29.3,,,,
6.00,228.3,59.4,36.4,29.3,,,,
6.02,227.5,59.4,36.45,29.35,,,,
6.03,226.75,59.3,36.45,29.4,,,,
6.05,225.85,59.2,36.5,29.4,,,,
6.07,225.1,59.2,36.4,29.35,,,,
6.08,224.05,59,36.45,29.45,,,,
6.10,223.65,59,36.4,29.4,,,,
6.12,223,58.8,36.4,29.45,,,,
6.13,222.1,58.8,36.5,29.5,,,,
6.15,221.2,58.7,36.5,29.55,,,,
6.17,220.75,58.6,36.5,29.55,,,,
6.18,219.85,58.6,36.55,29.55,,,,
6.20,219.2,58.5,36.55,29.55,,,,
6.22,218.6,58.5,36.55,29.55,,,,
6.23,217.55,58.3,36.55,29.6,,,,
6.25,216.6,58.2,36.55,29.6,,,,
6.27,216.45,58.2,36.65,29.65,,,,
6.28,215.65,58,36.65,29.7,,,,
6.30,214.7,58,36.7,29.7,,,,
6.32,214.05,57.9,36.7,29.7,,,,
6.33,213.45,57.8,36.75,29.75,,,,
6.35,212.9,57.7,36.85,29.85,,,,
6.37,212.05,57.6,36.7,29.85,,,,
